Feature ID	Taxon	Confidence
#q2:types	categorical	categorical
7a4a8b775aa88c5820dbe9ea92c76b17	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans	0.999995332433552
19c0d3dd481bb7fafe22abb061cefec4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans	0.999992530697606
5878eba495dce763bc22a481ae64aedd	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans	0.9999896138421268
be6b78e8f250d41785d288bca8a3d314	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans	0.999983534929392
bfb3ed47eed4a19755cdfd92c431145e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__uncultured; s__metagenome	0.9879552308561649
3903774474ca88073b81049c8b8927af	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__uncultured; s__metagenome	0.9926977441963357
57b50e6e3ddfafe90166e29ca03d3259	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans	0.9993277260627839
0277ead9dd2d22dc50cfd715ebcfe6ca	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Pseudarcicella; s__metagenome	0.8930845085441852
77ebc7f6b6e3b3de0c4b525314ccf761	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingorhabdus; s__uncultured_bacterium	0.7841771206635426
64103f6795b02ed78383eea1ab6d29a2	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium; s__uncultured_bacterium	0.9568006276745095
44f5b43b74df380912bc8107c77993e1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__Sphingobium_yanoikuyae	0.8084523748299899
cae97ae424e41d248233a60038ad4c82	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans	0.9988955303597598
cc55e6758a9266c94247fe86f2f9eaf2	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Pseudarcicella; s__metagenome	0.9057054545433234
438b8a09322aa40bdc33283913a0e3f7	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingorhabdus; s__uncultured_bacterium	0.8189930032532421
5f593371674a9f51b1923c4af540627d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans	0.9999941940187062
7197a5c136d86232dc53bbfa6b60f073	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__Sphingobium_yanoikuyae	0.9084241848454107
3a625aba8cc8cdd34c30616d25bd3fdb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter	0.9999923780869582
af4258439115b3ebf301db2a5dfde843	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium; s__uncultured_bacterium	0.9691377753172532
1036aa098bf204dc4e1c03924a67f63d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.999999999984926
435708b13e46c67c182cb92dc57e1070	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9949604702868826
65b419bf0379b50320a7cef787b6475b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.9999999999884529
5d2d40b2a5b51319b5649d2143445d6a	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.9999999999233357
18a1e479b1b1e52fbff103b78be580a5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9962386321055584
f7d1a3001ba8af2b4e269fef313bf013	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.9999999999412679
f1ceb93692d8f09cf89f956c1043e2f9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9971314768890257
5d81b46613a582d1a94fa803c90e44fe	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.9999982605976676
28fcfce2dd99ca24b41c1a3aebeeb34f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Emticicia; s__uncultured_bacterium	0.993804677597476
6a86df405bd06d4d6c05a976f4fae3ae	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9974218305664939
abf6832f29269031a909d89938a6978d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales; f__Solimonadaceae; g__Nevskia; s__uncultured_bacterium	0.8138915283549846
10c6eb9853aba4c431a84793a99e1ec6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.9999986164922663
